codigo;detalhe;ean;marca;link
10344;REVESTIM. ROMANICA FINO SYDNEY VADEX 25 K;723540507135;Vadex;https://somosrex.com/revestimiento-texturado-vadex-romanica-fino-montevideo-25-kg-outlet.html
10354;CARGADOR/ARRANCADOR DE BATERIA PI-300  LUSQTOFF;7798225221715;Lusqtoff;
10357;COMPRESOR DE AIRE 2.5HP 50LTS MA LC-2550BK LUSQTOFF;7798225220473;Lusqtoff;https://somosrex.com/compresor-de-aire-50-lts-kit-5-piezas-lusqtoff-lc-2550bk.html
10370;"TALADRO DE BANCO - 13MM 1/2"" TB-13  LUSQTOFF";7798225221524;Lusqtoff;https://somosrex.com/taladro-banco-digital-13-mm-230w-lusqtoff-tbl710-9d.html
10403;DESMALEZADORA 52CC LD-52  LUSQTOFF;7798225220152;Lusqtoff;https://somosrex.com/desmalezadora-lusqtoff-ld52-7-aceite-lubricante-acl2t200-motor-2t-200cc.html
10406;REPOSERA 5 POSICIONES  7/8 ALUMINIO ANDREITA;7796466302200;Tubogar;
10426;MEMBRANA LIQUIDA POLIFLEXIBLE LISA BLANCO AIKE X  4 LITROS;7795658100020;Best Paint;
10439;BRAIKE PISOS DEPORTIVOS VERDE CLARO X  1 LITROS;7795658000641;Best Paint;
10464;ESTUCCO VENECIANO ROSA VADEX X  5 KG;76625288574;Vadex;https://somosrex.com/estuco-veneciano-5lt-fullcover.html
10493;CHALKED BROCHEABLE AMARILLO AMANECER X0,887 E;20066448042;Rust Oleum;https://somosrex.com/pintura-a-la-tiza-tizada-chalked-blanco-lino-rust-oleum-1-lt.html
10538;ZOCALO EPS CURVES 80mm x 2,5m GRIS CLARO 2345;7798327370809;Atrim;
10572;CHALK PAINT GRIS CAMPESTRE  X1L;7792261027928;Venier;
10574;LACA PARA PINTURA ATIZADA VENIER AL AGUA MATE 1L;7792261027942;Venier;
10584;COLORIN TRAVERTINO RULATO G A PREPARAR PASTEL x300 S;0;Disal Revestimiento;
10602;MASILLA PARA PLACAS DE YESO COLORIN 32 KG;7790715004839;Disal Revestimiento;
10641;TAPA SALIDA EC 2000 PLASTICA NUM S;0;Adiabatic;
10673;TALADRO A BATERIA CON PERCUTOR Y 2 BAT. ATL18-9B;7799108040256;Lusqtoff;https://somosrex.com/taladro-a-bateria-destornillador-percutor-18v-lusqtoff-2-baterias.html
10678;LIJADORA ROTO ORBITAL 300W LRL300-8;7798225227236;Lusqtoff;https://somosrex.com/lijadora-roto-orbital-lusqtoff-125mm-300w-lrl300-8.html
10682;MALETIN DE HERRAMIENTAS 245 PIEZAS LQCM245-9;7798225227557;Lusqtoff;https://somosrex.com/maletin-portatil-set-de-herramientas-245-piezas-lusqtoff.html
10683;PISTOLA PARA PINTAR A BATERIA LL-32;7798225222415;Lusqtoff;
10698;ASPIRADORA ROBOTINA LAR101 LUSQTOFF;7798225224006;Lusqtoff;
10700;GABINETE ORGANIZADOR GML5-8;7799108039533;Lusqtoff;
10703;TERMO VERDE 1LT LUSQTOFF;7799108040003;Lusqtoff;https://somosrex.com/termo-acero-inoxidable-1l-militar-lusqtoff.html
