Codigo;EAN;Detalhe;Marca;Link consultado;Preço;Preço antigo;banco 1 nome;banco 1 parcelas;banco 1 preço;banco 2 nome;banco 2 parcelas;banco 2 preço;banco 3 nome;banco 3 parcelas;banco 3 preço
2243;7790817570485;CINTA PAPEL ENMASCARAR 48mm x50M RAPIFIX;Rapifix;https://somosrex.com/cinta-rapifix-auto-570-48mm-x-50mts.html;$7.202;$9.972;Santander;3 cuotas s/int (total c/reintegro incluido);$6.302;Provincia;6 cuotas s/int (total c/reintegro incluido);$7.202;Galicia;6 cuotas s/int (total c/reintegro incluido);$7.202
2457;7794004001103;LIJA AL AGUA AA 60 1170700 E;Doble A;https://somosrex.com/lija-al-agua-nro-60-aa.html;$800;$1.450;Santander;3 cuotas s/int (total c/reintegro incluido);$700;Provincia;6 cuotas s/int (total c/reintegro incluido);$800;Galicia;6 cuotas s/int (total c/reintegro incluido);$800
2822;7792833424087;ALBATROS X4 LITROS;Alba;https://somosrex.com/barniz-sintetico-exterior-marino-brillante-albatros-4-lts-alba.html;$34.981;$43.727;Santander;3 cuotas s/int (total c/reintegro incluido);$30.609;Provincia;6 cuotas s/int (total c/reintegro incluido);$34.981;Galicia;6 cuotas s/int (total c/reintegro incluido);$34.981
2863;7798043624705;PINT.PARA PISOS ALTO TRANSITO SAT. ALLO BRIKOL 1L;Cetol;https://somosrex.com/pintura-para-pisos-alto-transito-verde-brikol-1-l.html;$15.222;$20.296;Santander;3 cuotas s/int (total c/reintegro incluido);$13.319;Provincia;6 cuotas s/int (total c/reintegro incluido);$15.222;Galicia;6 cuotas s/int (total c/reintegro incluido);$15.222
3136;7798075650130;BANDEJA PLANA RUCAR;Rucar;https://somosrex.com/bandeja-plana-grande.html;$4.721;$5.901;Santander;3 cuotas s/int (total c/reintegro incluido);$4.131;Provincia;6 cuotas s/int (total c/reintegro incluido);$4.721;Galicia;6 cuotas s/int (total c/reintegro incluido);$4.721
3246;7798043622893;CETOL CLASSIC IMPREGNANTE BRILLANTE CRISTAL 1 LITROS;Cetol;https://somosrex.com/impregnante-maderas-cetol-classic-brillante-cristal-1-l.html;$15.300;$20.400;Santander;3 cuotas s/int (total c/reintegro incluido);$13.387;Provincia;6 cuotas s/int (total c/reintegro incluido);$15.300;Galicia;6 cuotas s/int (total c/reintegro incluido);$15.300
3297;7796374851890;SATINOL BALANCE AL AGUA BLANCO x1 LITROS (0,5l);Alba;https://somosrex.com/esmalte-al-agua-satinado-blanco-satinol-0-5-lts-alba.html;$13.441;$16.802;Santander;3 cuotas s/int (total c/reintegro incluido);$11.761;Provincia;6 cuotas s/int (total c/reintegro incluido);$13.441;Galicia;6 cuotas s/int (total c/reintegro incluido);$13.441
3305;7796374851906;SATINOL BALANCE AL AGUA BLANCO x4 LITROS;Alba;https://somosrex.com/esmalte-al-agua-satinado-blanco-satinol-4-lts-alba.html;$66.818;$85.664;Santander;3 cuotas s/int (total c/reintegro incluido);$58.465;Provincia;6 cuotas s/int (total c/reintegro incluido);$66.818;Galicia;6 cuotas s/int (total c/reintegro incluido);$66.818
3535;7797568000032;FIJADOR SELLADOR  PARA INT/EXT AL AGUA 10 L LITROS;Andina;https://somosrex.com/sellador-fijador-al-agua-para-paredes-x-4-lts-andina.html;$11.119;$14.826;Santander;3 cuotas s/int (total c/reintegro incluido);$9.729;Provincia;6 cuotas s/int (total c/reintegro incluido);$11.119;Galicia;6 cuotas s/int (total c/reintegro incluido);$11.119
3636;7792952008670;RECUPLAST IMPERMEABLE FRENTES BLANCO SINTEPLAST 4L LITROS;Sinteplast;https://somosrex.com/recuplast-frentes-blanco-4lt-impermeabilizante.html;$42.207;$56.276;Santander;3 cuotas s/int (total c/reintegro incluido);$36.931;Provincia;6 cuotas s/int (total c/reintegro incluido);$42.207;Galicia;6 cuotas s/int (total c/reintegro incluido);$42.207
3637;7792952000278;RECUPLAST IMPERMEABLE FRENTES BLANCO SINTEPLAST 10L LITROS;Sinteplast;https://somosrex.com/recuplast-frentes-impermeabilizante-x-10-lts-sinteplast.html;$79.880;$106.506;Santander;3 cuotas s/int (total c/reintegro incluido);$69.895;Provincia;6 cuotas s/int (total c/reintegro incluido);$79.880;Galicia;6 cuotas s/int (total c/reintegro incluido);$79.880
3638;7792952000285;RECUPLAST FRENTES BLANCO x20 LITROS;Sinteplast;https://somosrex.com/recuplast-frentes-impermeabilizante-20l-sinteplast.html;$152.790;$203.720;Santander;3 cuotas s/int (total c/reintegro incluido);$133.691;Provincia;6 cuotas s/int (total c/reintegro incluido);$152.790;Galicia;6 cuotas s/int (total c/reintegro incluido);$152.790
